#FILE:                       	VA_130312_Cu_10_Ar.ngb-ss1
#FORMAT:                     	NETZSCH5                  
#IDENTITY:                   	VA_130312_Cu_10_Ar        
#DECIMAL:                    	POINT                     
#SEPARATOR:                  	TAB                       
#MTYPE:                      	DSC                       
#INSTRUMENT:                 	NETZSCH STA 449F1         
#PROJECT:                    	oxide hydroxide           
#DATE/TIME:                  	12.03.2013 14:19:20       
#CORR. FILE:                 	                          
#LABORATORY:                 	Нанотех                   
#OPERATOR:                   	Compositers               
#REMARK:                     	                          
#SAMPLE:                     	VA_130312_Cu_10_Ar        
#SAMPLE MASS /mg:            	7.10                      
#MATERIAL:                   	MxOy.kH2O                 
#REFERENCE:                  	                          
#REFERENCE MASS /mg:         	0                         
#TYPE OF CRUCIBLE:           	DSC/TG pan Pt-Rh          
#SAMPLE CRUCIBLE MASS /mg:   	183.71                    
#REFERENCE CRUCIBLE MASS /mg:	185                       
#CORR. CODE:                 	000                       
#EXO:                        	+1                        
#RANGE:                      	20/10.0(K/min)/350        
#SEGMENT:                    	S1/1                      

##Temp./°C	Time/min	DSC/(mW/mg)	Mass/%	Gas Flow(protective)/(ml/min)	Sensit./(uV/mW)
  40.199	    	    4.29459	-4.7305e-002	100.00058   	20.00000	1.03996
  40.509	    	    4.33490	-5.0428e-002	100.00084   	20.00000	1.03979
  40.819	    	    4.37500	-5.4575e-002	100.00297   	20.00000	1.03962
  41.129	    	    4.41492	-5.7475e-002	100.00123   	20.00000	1.03945
  41.439	    	    4.45471	-6.1583e-002	99.99921   	20.00000	1.03928
  41.749	    	    4.49431	-6.6411e-002	100.0005   	20.00000	1.03911
  42.059	    	    4.53377	-7.1596e-002	100.00094   	20.00000	1.03894
  42.369	    	    4.57311	-8.0481e-002	100.00209   	20.00000	1.03877
  42.679	    	    4.61233	-9.1693e-002	99.99948   	20.00000	1.03860
  42.989	    	    4.65137	    -0.10570	99.99493   	20.00000	1.03843
  43.299	    	    4.69032	    -0.12214	99.98409   	20.00000	1.03826
  43.609	    	    4.72920	    -0.14043	99.97018   	20.00000	1.03809
  43.919	    	    4.76796	    -0.15927	99.95759   	20.00000	1.03792
  44.229	    	    4.80660	    -0.17764	99.9453   	20.00000	1.03775
  44.539	    	    4.84517	    -0.19488	99.93346   	20.00000	1.03758
  44.849	    	    4.88366	    -0.21208	99.92223   	20.00000	1.03741
  45.159	    	    4.92204	    -0.22639	99.91317   	20.00000	1.03723
