#FILE:VA_130319_Cu_02_Ar.ngb-ss1
#FORMAT:NETZSCH5
#IDENTITY:VA_130319_Cu_02_Ar
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH STA 449F1
#PROJECT:oxide hydroxide
#DATE/TIME:19.03.2013 11:34:23
#CORR. FILE:
#LABORATORY:Нанотех
#OPERATOR:Compositers
#REMARK:
#SAMPLE:VA_130319_Cu_02_Ar
#SAMPLE MASS /mg:7.81
#MATERIAL:MxOy.kH2O
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:DSC/TG pan Pt-Rh
#SAMPLE CRUCIBLE MASS /mg:183.71
#REFERENCE CRUCIBLE MASS /mg:185
#CORR. CODE:000
#EXO:+1
#RANGE:20/2.0(K/min)/350
#SEGMENT:S1/1

##Temp./°C;Time/min;DSC/(uV/mg);Mass/%;Gas Flow(protective)/(ml/min);Sensit./(uV/mW)
39.6507	    12.21000      0.18199   99.97695   20.00000 1.04153
39.9568	    12.37500      0.18120   99.95391   20.00000 1.04137
40.2625	    12.54000      0.18141   99.93528   20.00000 1.04120
40.5691	    12.70500      0.17931   99.90888   20.00000 1.04103
40.8757	    12.87000      0.17838   99.89949   20.00000 1.04086
41.1834	    13.03500      0.17836   99.8729   20.00000 1.04069
41.4899	    13.20000      0.17691   99.8487   20.00000 1.04053
41.7969	    13.36500      0.17578   99.82826   20.00000 1.04036
42.1042	    13.53000      0.17554   99.79988   20.00000 1.04018
42.4097	    13.69500      0.17430   99.77434   20.00000 1.04001
42.7156	    13.86000      0.17310   99.73594   20.00000 1.03984
43.0205	    14.02500      0.17206   99.69857   20.00000 1.03967
43.3238	    14.19000      0.17027   99.66959   20.00000 1.03950
43.6263	    14.35500      0.16864   99.61036   20.00000 1.03933
43.9276	    14.52000      0.16665   99.56372   20.00000 1.03916
44.2285	    14.68500      0.16480   99.51921   20.00000 1.03899
44.5284	    14.85000      0.16021   99.46223   20.00000 1.03882
44.8286	    15.01500      0.15293   99.40026   20.00000 1.03865
